Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guatemala,GTM,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.679707077,7.831161962,8.923703666,8.547832621,9.749267155,10.01452872,9.476145712,8.446902065,7.507885737,8.40451901,7.94526795,,,9.513230352,8.877627954,8.165626708,5.145793978,6.129440168,
Guatemala,GTM,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,83,72,67,58,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Voice and Accountability: Percentile Rank,VA.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,43.7810936,,40.79602051,,40.29850769,34.3283577,38.46154022,37.5,41.34615326,41.82692337,41.34615326,39.8104248,36.4928894,36.61971664,35.6807518,36.15023422,36.94581223,35.96059036,37.43842316,37.43842316,34.95145798,34.78260803,35.26570129,34.29951859,33.81642532
Guatemala,GTM,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,18.81481481,21.46274778,20.47619048,23.60946746,26.85352622,35.48850575,39.76470588,15.19607843,12.6459144,8.756756757,6.806282723,12.35119048,11.86131387,7.373124801,5.734597156,7.107124375,5.501359348,6.044039484,6.761521027,8.793686584,10.17892644,10.30499076,8.820403826,7.707362535,7.463401727,6.511804712,6.093891422,15.01773749,12.6494187,12.104666,11.81992219,11.75459337,12.18600087,12.20227699,13.61756212,11.88167016,13.1125656,13.44993079,14.69164942,14.04605109,12.7108793,12.68710538,13.26693158,15.58385147,17.56883296,15.62171059
Guatemala,GTM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,24.37037037,25.29049897,31.42857143,33.19526627,31.55515371,34.05172414,39.29411765,57.35294118,60.11673152,59.13513514,54.59985041,39.95535714,35.35583942,53.04819662,58.55450237,58.7545282,61.05869183,62.01974184,63.30899018,55.90473506,52.88270378,49.80360444,49.50053135,45.12581547,47.770559,45.20029753,44.37454382,21.13716989,21.0496152,20.81974188,20.86086581,32.66939004,34.62942241,39.3052933,40.10537475,43.81055905,43.32858117,45.45478011,44.01389318,45.50411452,48.55785438,49.48395295,48.08846357,63.92884835,61.24068024,57.83096526
Guatemala,GTM,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,2.925531915,1.814882033,2.014652015,1.986754967,1.819284415,2.635825713,1.856763926,2.432843386,1.760214746,2.232263471,1.749243994,1.405704905,2.222146611,2.26970655,1.480753698,3.053784957,3.752677748,4.318178753,4.89510038,4.679268995,4.570916055,4.439697793,6.056105744,5.142303256,5.61202455,6.272520195,4.316777315,4.564433438,3.865313405,5.11755938,6.498625508,3.191004991,6.652649053,3.452993142,5.085468191,4.963394556,4.074216314,2.119771213,3.027382771,3.003776003,0.826786345,0.84869284,0.93747119,0.719626337,1.55051194,1.538667643,1.120101464,1.18957814,0.213633706,0.251122998,0.795482348,0.678430823,0.730762813,0.897045708,0.676533312,0.694697214,0.939380538,0.761976486,1.083782455,0.73289275,0.809531384,,
Guatemala,GTM,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,4.69858156,7.985480944,3.47985348,11.7218543,18.67798666,19.63421194,22.85587975,29.75164724,31.86208717,33.78036031,36.34310423,33.7514241,32.24463409,32.33537379,31.08743615,29.48151495,26.54886775,19.993273,24.646776,26.31520859,31.48430055,39.84100895,35.46252388,33.65655113,27.97228788,22.81843223,19.5599187,26.63224869,29.76948358,30.48848765,30.96289415,35.20408667,37.4984561,38.36426612,39.81089861,34.90865831,36.53684153,26.74731783,19.42799705,19.95453937,37.66755309,50.25822684,31.3519626,31.85093483,32.73915709,34.44032772,36.94538712,39.43366088,42.58420258,37.86959064,38.92558949,36.42903634,38.08540685,36.50442367,36.85250148,38.08235002,39.12202007,38.79897443,38.80497965,40.0127635,38.37335768,,
Guatemala,GTM,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,92.37588652,90.19963702,94.50549451,86.22516556,79.26015767,75.36309844,71.35278515,66.80182463,63.87907325,62.76963558,61.2569868,64.720805,64.81931139,65.15577122,66.71485963,66.66865691,69.23448755,73.53194567,69.82366239,63.32263223,59.45156388,51.30637703,56.65957027,60.83272295,64.17680675,67.721197,74.40364577,67.95038481,64.52403683,63.58022427,59.9861546,58.06419132,52.25211684,56.54630509,52.11162779,57.01212507,58.51872975,68.00573875,74.9506354,76.06084917,58.77524111,46.74481427,65.92271909,65.10946664,64.27975151,61.89448327,59.99724176,56.68773112,55.32009973,58.46681561,56.60907828,60.04813467,57.76180515,56.58024412,56.30537477,54.20799173,54.2719601,54.39221533,56.33547398,53.49793705,53.30906631,,
Guatemala,GTM,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,,,,13.99159485,15.73158526,20.50312862,23.38020637,25.13819544,27.98022496,27.56260956,26.30791347,26.83474923,26.69785394,24.71737824,23.56963815,17.477715,20.64356373,23.07605099,24.16127971,29.11212728,26.46213402,24.82899426,23.37123678,20.53179083,17.15548929,23.72327797,,,,,,30.79288794,31.38497465,28.18966921,30.74818163,30.21857767,32.81318719,34.11830417,30.85394414,36.83999341,39.69565077,40.38340912,41.80902943,56.73570345,34.91583675,49.6402637,46.92502658,43.10233667,42.6316971,39.23921867,40.53232855,41.25933096,39.15509444,42.60770878,42.16046781,41.97245822,44.35209979,43.54251628,42.53204967,46.84450417,47.0823729
Guatemala,GTM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,64.4384482,61.83874332,58.98910094,55.28598928,55.69298569,58.65492657,59.80092583,57.66909931,58.0989617,56.14865719,58.46796178,60.01982688,64.72859845,61.10407878,52.11823095,53.44612693,54.03949512,57.99994111,59.95626619,57.84965349,62.27510056,74.93276827,67.91887766,,,,,,62.81253279,62.03814324,65.1789675,60.55345389,61.13710039,60.78694983,57.67239116,56.18102835,51.20153883,48.19051938,47.01856864,45.23114734,33.82211437,49.79890318,37.32712904,37.67463749,44.2776217,42.03826731,40.5419453,44.0942736,43.80805805,42.34654804,42.76389743,44.94218431,47.63729629,47.30581309,48.18409313,51.42491202,45.79919201,46.1691376
Guatemala,GTM,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.10790429,27.10790429,27.10790429,27.10790429,28.84983885,27.38394656,29.55139055,28.34694212,26.7927871,30.20526773,30.09161273,31.16652188,34.3930009,34.1849471,33.78575114,19.42922693,29.02680632,20.49424551,21.60463054,21.18790098,20.32569926,18.96136742,21.31655253,20.86850324,19.45177294,21.20077098,21.14068825,20.88223306,21.53931101,23.23078922,24.95951551,,
